r(1st stage) = 7014.279, v=8.347 time=0.0
r(1st stage) = 7692.306, v=7.723 time=0.001203765058880285
r(1st stage) = 7704.139, v=7.713 time=0.0012252608635031472
r(1st stage) = 7715.961, v=7.703 time=0.0012467566681260095
r(1st stage) = 7727.771, v=7.692 time=0.0012682524727488716
r(1st stage) = 7739.568, v=7.682 time=0.001289748277371734
r(1st stage) = 7751.353, v=7.672 time=0.001311244081994596
r(1st stage) = 7763.125, v=7.662 time=0.0013327398866174584
r(1st stage) = 7774.885, v=7.652 time=0.0013542356912403205
r(1st stage) = 7786.632, v=7.642 time=0.0013757314958631828
r(1st stage) = 7798.367, v=7.632 time=0.0013972273004860451
r(1st stage) = 7810.088, v=7.621 time=0.0014187231051089072
r(1st stage) = 7821.797, v=7.611 time=0.0014402189097317696
r(1st stage) = 7833.492, v=7.601 time=0.0014617147143546317
r(1st stage) = 7845.174, v=7.591 time=0.001483210518977494
r(1st stage) = 7856.843, v=7.582 time=0.0015047063236003561
r(1st stage) = 7868.499, v=7.572 time=0.0015262021282232184
r(1st stage) = 7880.142, v=7.562 time=0.0015476979328460806
r(1st stage) = 7891.770, v=7.552 time=0.0015691937374689429
r(1st stage) = 7903.386, v=7.542 time=0.0015906895420918052
r(1st stage) = 7914.987, v=7.532 time=0.0016121853467146673
r(1st stage) = 7926.575, v=7.522 time=0.0016336811513375296
r(1st stage) = 7938.149, v=7.513 time=0.0016551769559603917
r(1st stage) = 7949.710, v=7.503 time=0.001676672760583254
r(1st stage) = 7961.256, v=7.493 time=0.0016981685652061162
r(1st stage) = 7972.788, v=7.484 time=0.0017196643698289785
r(1st stage) = 7984.306, v=7.474 time=0.0017411601744518408
r(1st stage) = 7995.810, v=7.464 time=0.001762655979074703
r(1st stage) = 8007.299, v=7.455 time=0.0017841517836975653
r(1st stage) = 8018.775, v=7.445 time=0.0018056475883204274
r(1st stage) = 8030.235, v=7.436 time=0.0018271433929432897
r(1st stage) = 8041.682, v=7.426 time=0.0018486391975661518
r(1st stage) = 8053.113, v=7.417 time=0.0018701350021890141
r(1st stage) = 8064.531, v=7.407 time=0.0018916308068118765
r(1st stage) = 8075.933, v=7.398 time=0.0019131266114347386
r(1st stage) = 8087.321, v=7.388 time=0.001934622416057601
r(1st stage) = 8098.694, v=7.379 time=0.0019561182206804632
r(1st stage) = 8110.052, v=7.370 time=0.0019776140253033253
r(1st stage) = 8121.395, v=7.360 time=0.0019991098299261875
r(1st stage) = 8132.723, v=7.351 time=0.0020206056345490496
r(1st stage) = 8144.036, v=7.342 time=0.002042101439171912
r(1st stage) = 8155.334, v=7.333 time=0.002063597243794774
r(1st stage) = 8166.617, v=7.323 time=0.0020850930484176363
r(1st stage) = 8177.885, v=7.314 time=0.002106588853040499
r(1st stage) = 8189.137, v=7.305 time=0.002128084657663361
r(1st stage) = 8200.374, v=7.296 time=0.002149580462286223
r(1st stage) = 8211.596, v=7.287 time=0.002171076266909085
r(1st stage) = 8222.802, v=7.278 time=0.0021925720715319477
r(1st stage) = 8233.993, v=7.269 time=0.00221406787615481
r(1st stage) = 8245.168, v=7.260 time=0.002235563680777672
r(1st stage) = 8256.328, v=7.251 time=0.0022570594854005345
r(1st stage) = 8267.472, v=7.242 time=0.0022785552900233966
r(1st stage) = 8278.600, v=7.233 time=0.0023000510946462587
r(1st stage) = 8289.713, v=7.224 time=0.002321546899269121
r(1st stage) = 8300.810, v=7.215 time=0.0023430427038919834
r(1st stage) = 8311.891, v=7.206 time=0.0023645385085148455
r(1st stage) = 8322.957, v=7.197 time=0.0023860343131377076
r(1st stage) = 8334.006, v=7.188 time=0.00240753011776057
r(1st stage) = 8345.040, v=7.179 time=0.0024290259223834322
r(1st stage) = 8356.058, v=7.171 time=0.0024505217270062944
r(1st stage) = 8367.059, v=7.162 time=0.0024720175316291565
r(1st stage) = 8378.045, v=7.153 time=0.002493513336252019
r(1st stage) = 8389.015, v=7.144 time=0.002515009140874881
r(1st stage) = 8399.968, v=7.136 time=0.0025365049454977432
r(1st stage) = 8410.906, v=7.127 time=0.0025580007501206053
r(1st stage) = 8421.827, v=7.118 time=0.002579496554743468
r(1st stage) = 8432.732, v=7.110 time=0.00260099235936633
r(1st stage) = 8443.621, v=7.101 time=0.002622488163989192
r(1st stage) = 8454.494, v=7.093 time=0.0026439839686120546
r(1st stage) = 8465.350, v=7.084 time=0.0026654797732349167
r(1st stage) = 8476.190, v=7.076 time=0.002686975577857779
r(1st stage) = 8487.014, v=7.067 time=0.002708471382480641
r(1st stage) = 8497.821, v=7.059 time=0.0027299671871035035
r(1st stage) = 8508.612, v=7.050 time=0.0027514629917263656
r(1st stage) = 8519.387, v=7.042 time=0.0027729587963492277
r(1st stage) = 8530.145, v=7.034 time=0.0027944546009720903
r(1st stage) = 8540.887, v=7.025 time=0.0028159504055949524
r(1st stage) = 8551.612, v=7.017 time=0.0028374462102178145
r(1st stage) = 8562.321, v=7.009 time=0.0028589420148406766
r(1st stage) = 8573.013, v=7.000 time=0.002880437819463539
r(1st stage) = 8583.689, v=6.992 time=0.0029019336240864013
r(1st stage) = 8594.348, v=6.984 time=0.0029234294287092634
r(1st stage) = 8604.991, v=6.976 time=0.002944925233332126
r(1st stage) = 8615.617, v=6.967 time=0.002966421037954988
r(1st stage) = 8626.227, v=6.959 time=0.00298791684257785
r(1st stage) = 8636.819, v=6.951 time=0.0030094126472007122
r(1st stage) = 8647.396, v=6.943 time=0.0030309084518235748
r(1st stage) = 8657.955, v=6.935 time=0.003052404256446437
r(1st stage) = 8668.498, v=6.927 time=0.003073900061069299
r(1st stage) = 8679.024, v=6.919 time=0.003095395865692161
r(1st stage) = 8689.534, v=6.911 time=0.0031168916703150236
r(1st stage) = 8700.027, v=6.903 time=0.0031383874749378858
r(1st stage) = 8710.503, v=6.895 time=0.003159883279560748
r(1st stage) = 8720.962, v=6.887 time=0.0031813790841836104
r(1st stage) = 8731.405, v=6.879 time=0.0032028748888064725
r(1st stage) = 8741.831, v=6.871 time=0.0032243706934293346
r(1st stage) = 8752.240, v=6.863 time=0.0032458664980521967
r(1st stage) = 8762.633, v=6.855 time=0.0032673623026750593
r(1st stage) = 8773.008, v=6.847 time=0.0032888581072979214
r(1st stage) = 8783.367, v=6.839 time=0.0033103539119207835
r(1st stage) = 8793.709, v=6.832 time=0.003331849716543646
r(1st stage) = 8804.035, v=6.824 time=0.003353345521166508
r(1st stage) = 8814.343, v=6.816 time=0.0033748413257893703
r(1st stage) = 8824.635, v=6.808 time=0.0033963371304122324
r(1st stage) = 8834.910, v=6.801 time=0.003417832935035095
r(1st stage) = 8845.168, v=6.793 time=0.003439328739657957
r(1st stage) = 8855.410, v=6.785 time=0.003460824544280819
r(1st stage) = 8865.635, v=6.777 time=0.0034823203489036817
r(1st stage) = 8875.842, v=6.770 time=0.003503816153526544
r(1st stage) = 8886.034, v=6.762 time=0.003525311958149406
r(1st stage) = 8896.208, v=6.755 time=0.003546807762772268
r(1st stage) = 8906.365, v=6.747 time=0.0035683035673951305
r(1st stage) = 8916.506, v=6.740 time=0.0035897993720179927
r(1st stage) = 8926.630, v=6.732 time=0.0036112951766408548
r(1st stage) = 8936.737, v=6.725 time=0.0036327909812637173
r(1st stage) = 8946.827, v=6.717 time=0.0036542867858865794
r(1st stage) = 8956.901, v=6.710 time=0.0036757825905094415
r(1st stage) = 8966.958, v=6.702 time=0.0036972783951323036
r(1st stage) = 8976.998, v=6.695 time=0.003718774199755166
r(1st stage) = 8987.021, v=6.687 time=0.0037402700043780283
r(1st stage) = 8997.028, v=6.680 time=0.0037617658090008904
r(1st stage) = 9007.017, v=6.673 time=0.003783261613623753
r(1st stage) = 9016.991, v=6.665 time=0.003804757418246615
r(1st stage) = 9026.947, v=6.658 time=0.003826253222869477
r(1st stage) = 9036.886, v=6.651 time=0.0038477490274923393
r(1st stage) = 9046.809, v=6.643 time=0.003869244832115202
r(1st stage) = 9056.715, v=6.636 time=0.003890740636738064
r(1st stage) = 9066.605, v=6.629 time=0.0039122364413609265
r(1st stage) = 9076.477, v=6.622 time=0.003933732245983789
r(1st stage) = 9086.334, v=6.614 time=0.003955228050606651
r(1st stage) = 9096.173, v=6.607 time=0.003976723855229513
r(1st stage) = 9105.996, v=6.600 time=0.003998219659852375
r(1st stage) = 9115.802, v=6.593 time=0.004019715464475237
r(1st stage) = 9125.591, v=6.586 time=0.004041211269098099
r(1st stage) = 9135.364, v=6.579 time=0.004062707073720962
r(1st stage) = 9145.120, v=6.572 time=0.004084202878343824
r(1st stage) = 9154.860, v=6.565 time=0.004105698682966686
r(1st stage) = 9164.583, v=6.558 time=0.004127194487589548
r(1st stage) = 9174.289, v=6.551 time=0.0041486902922124105
r(1st stage) = 9183.979, v=6.544 time=0.004170186096835273
r(1st stage) = 9193.652, v=6.537 time=0.004191681901458135
r(1st stage) = 9203.309, v=6.530 time=0.004213177706080998
r(1st stage) = 9212.949, v=6.523 time=0.00423467351070386
r(1st stage) = 9222.573, v=6.516 time=0.004256169315326722
r(1st stage) = 9232.180, v=6.509 time=0.004277665119949584
r(1st stage) = 9241.771, v=6.502 time=0.004299160924572446
r(1st stage) = 9251.345, v=6.495 time=0.004320656729195308
r(1st stage) = 9260.903, v=6.488 time=0.00434215253381817
r(1st stage) = 9270.445, v=6.481 time=0.004363648338441033
r(1st stage) = 9279.970, v=6.475 time=0.0043851441430638955
r(1st stage) = 9289.479, v=6.468 time=0.004406639947686758
r(1st stage) = 9298.971, v=6.461 time=0.00442813575230962
r(1st stage) = 9308.447, v=6.454 time=0.004449631556932482
r(1st stage) = 9317.907, v=6.447 time=0.004471127361555344
r(1st stage) = 9327.350, v=6.441 time=0.004492623166178206
r(1st stage) = 9336.777, v=6.434 time=0.004514118970801069
r(1st stage) = 9346.188, v=6.427 time=0.004535614775423931
r(1st stage) = 9355.583, v=6.421 time=0.004557110580046793
r(1st stage) = 9364.961, v=6.414 time=0.004578606384669655
r(1st stage) = 9374.323, v=6.407 time=0.0046001021892925174
r(1st stage) = 9383.669, v=6.401 time=0.0046215979939153795
r(1st stage) = 9392.999, v=6.394 time=0.004643093798538242
r(1st stage) = 9402.312, v=6.388 time=0.004664589603161105
r(1st stage) = 9411.610, v=6.381 time=0.004686085407783967
r(1st stage) = 9420.891, v=6.375 time=0.004707581212406829
r(1st stage) = 9430.157, v=6.368 time=0.004729077017029691
r(1st stage) = 9439.406, v=6.361 time=0.004750572821652553
r(1st stage) = 9448.639, v=6.355 time=0.004772068626275415
r(1st stage) = 9457.857, v=6.349 time=0.004793564430898277
r(1st stage) = 9467.058, v=6.342 time=0.00481506023552114
r(1st stage) = 9476.243, v=6.336 time=0.004836556040144002
r(1st stage) = 9485.413, v=6.329 time=0.0048580518447668645
r(1st stage) = 9494.566, v=6.323 time=0.004879547649389727
r(1st stage) = 9503.704, v=6.316 time=0.004901043454012589
r(1st stage) = 9512.825, v=6.310 time=0.004922539258635451
r(1st stage) = 9521.931, v=6.304 time=0.004944035063258313
r(1st stage) = 9531.021, v=6.297 time=0.004965530867881175
r(1st stage) = 9540.095, v=6.291 time=0.004987026672504038
r(1st stage) = 9549.154, v=6.285 time=0.0050085224771269
r(1st stage) = 9558.197, v=6.278 time=0.005030018281749762
r(1st stage) = 9567.224, v=6.272 time=0.005051514086372624
r(1st stage) = 9576.235, v=6.266 time=0.0050730098909954864
r(1st stage) = 9585.231, v=6.260 time=0.0050945056956183486
r(1st stage) = 9594.211, v=6.253 time=0.005116001500241211
r(1st stage) = 9603.175, v=6.247 time=0.005137497304864074
r(1st stage) = 9612.124, v=6.241 time=0.005158993109486936
r(1st stage) = 9621.057, v=6.235 time=0.005180488914109798
r(1st stage) = 9629.975, v=6.229 time=0.00520198471873266
r(1st stage) = 9638.877, v=6.223 time=0.005223480523355522
r(1st stage) = 9647.764, v=6.216 time=0.005244976327978384
r(1st stage) = 9656.635, v=6.210 time=0.005266472132601246
r(1st stage) = 9665.491, v=6.204 time=0.005287967937224109
r(1st stage) = 9674.332, v=6.198 time=0.005309463741846971
r(1st stage) = 9683.157, v=6.192 time=0.0053309595464698335
r(1st stage) = 9691.967, v=6.186 time=0.005352455351092696
r(1st stage) = 9700.761, v=6.180 time=0.005373951155715558
r(1st stage) = 9709.540, v=6.174 time=0.00539544696033842
r(1st stage) = 9718.304, v=6.168 time=0.005416942764961282
r(1st stage) = 9727.053, v=6.162 time=0.005438438569584145
r(1st stage) = 9735.787, v=6.156 time=0.005459934374207007
r(1st stage) = 9744.505, v=6.150 time=0.005481430178829869
r(1st stage) = 9753.208, v=6.144 time=0.005502925983452731
r(1st stage) = 9761.896, v=6.138 time=0.005524421788075593
r(1st stage) = 9770.569, v=6.132 time=0.0055459175926984555
r(1st stage) = 9779.227, v=6.126 time=0.0055674133973213176
r(1st stage) = 9787.870, v=6.121 time=0.0055889092019441805
r(1st stage) = 9796.498, v=6.115 time=0.005610405006567043
r(1st stage) = 9805.111, v=6.109 time=0.005631900811189905
r(1st stage) = 9813.709, v=6.103 time=0.005653396615812767
r(1st stage) = 9822.292, v=6.097 time=0.005674892420435629
r(1st stage) = 9830.860, v=6.091 time=0.005696388225058491
r(1st stage) = 9839.413, v=6.086 time=0.005717884029681353
r(1st stage) = 9847.952, v=6.080 time=0.005739379834304216
r(1st stage) = 9856.476, v=6.074 time=0.005760875638927078
r(1st stage) = 9864.985, v=6.068 time=0.00578237144354994
r(1st stage) = 9873.479, v=6.063 time=0.0058038672481728025
r(1st stage) = 9881.959, v=6.057 time=0.005825363052795665
r(1st stage) = 9890.423, v=6.051 time=0.005846858857418527
r(1st stage) = 9898.874, v=6.046 time=0.005868354662041389
r(1st stage) = 9907.309, v=6.040 time=0.005889850466664252
r(1st stage) = 9915.730, v=6.034 time=0.005911346271287114
r(1st stage) = 9924.137, v=6.029 time=0.005932842075909976
r(1st stage) = 9932.529, v=6.023 time=0.005954337880532838
r(1st stage) = 9940.906, v=6.017 time=0.0059758336851557
r(1st stage) = 9949.269, v=6.012 time=0.005997329489778562
r(1st stage) = 9957.618, v=6.006 time=0.0060188252944014245
r(1st stage) = 9965.952, v=6.001 time=0.0060403210990242874
r(1st stage) = 9974.272, v=5.995 time=0.0060618169036471495
r(1st stage) = 9982.577, v=5.989 time=0.006083312708270012
r(1st stage) = 9990.868, v=5.984 time=0.006104808512892874
r(1st stage) = 9999.145, v=5.978 time=0.006126304317515736
r(1st stage) = 10007.408, v=5.973 time=0.006147800122138598
r(1st stage) = 10015.656, v=5.967 time=0.00616929592676146
r(1st stage) = 10023.891, v=5.962 time=0.006190791731384322
r(1st stage) = 10032.111, v=5.956 time=0.006212287536007185
r(1st stage) = 10040.317, v=5.951 time=0.006233783340630047
r(1st stage) = 10048.509, v=5.946 time=0.006255279145252909
r(1st stage) = 10056.686, v=5.940 time=0.0062767749498757715
r(1st stage) = 10064.850, v=5.935 time=0.006298270754498634
r(1st stage) = 10073.000, v=5.929 time=0.006319766559121496
r(1st stage) = 10081.136, v=5.924 time=0.006341262363744358
r(1st stage) = 10089.258, v=5.919 time=0.006362758168367221
r(1st stage) = 10097.366, v=5.913 time=0.006384253972990083
r(1st stage) = 10105.460, v=5.908 time=0.006405749777612945
r(1st stage) = 10113.540, v=5.902 time=0.006427245582235807
r(1st stage) = 10121.606, v=5.897 time=0.006448741386858669
r(1st stage) = 10129.659, v=5.892 time=0.006470237191481531
r(1st stage) = 10137.698, v=5.887 time=0.0064917329961043935
r(1st stage) = 10145.723, v=5.881 time=0.0065132288007272564
r(1st stage) = 10153.734, v=5.876 time=0.0065347246053501186
r(1st stage) = 10161.732, v=5.871 time=0.006556220409972981
r(1st stage) = 10169.716, v=5.865 time=0.006577716214595843
r(1st stage) = 10177.687, v=5.860 time=0.006599212019218705
r(1st stage) = 10185.644, v=5.855 time=0.006620707823841567
r(1st stage) = 10193.587, v=5.850 time=0.006642203628464429
r(1st stage) = 10201.517, v=5.845 time=0.006663699433087292
r(1st stage) = 10209.434, v=5.839 time=0.006685195237710154
r(1st stage) = 10217.337, v=5.834 time=0.006706691042333016
r(1st stage) = 10225.226, v=5.829 time=0.006728186846955878
r(1st stage) = 10233.103, v=5.824 time=0.0067496826515787405
r(1st stage) = 10240.966, v=5.819 time=0.006771178456201603
r(1st stage) = 10248.815, v=5.814 time=0.006792674260824465
r(1st stage) = 10256.651, v=5.809 time=0.006814170065447328
r(1st stage) = 10264.474, v=5.803 time=0.00683566587007019
r(1st stage) = 10272.284, v=5.798 time=0.006857161674693052
r(1st stage) = 10280.081, v=5.793 time=0.006878657479315914
r(1st stage) = 10287.864, v=5.788 time=0.006900153283938776
r(1st stage) = 10295.634, v=5.783 time=0.006921649088561638
r(1st stage) = 10303.391, v=5.778 time=0.0069431448931845
r(1st stage) = 10311.136, v=5.773 time=0.006964640697807363
r(1st stage) = 10318.867, v=5.768 time=0.0069861365024302255
r(1st stage) = 10326.585, v=5.763 time=0.007007632307053088
r(1st stage) = 10334.290, v=5.758 time=0.00702912811167595
r(1st stage) = 10341.982, v=5.753 time=0.007050623916298812
r(1st stage) = 10349.661, v=5.748 time=0.007072119720921674
r(1st stage) = 10357.327, v=5.743 time=0.007093615525544536
r(1st stage) = 10364.980, v=5.738 time=0.007115111330167399
r(1st stage) = 10372.621, v=5.733 time=0.007136607134790261
r(1st stage) = 10380.249, v=5.728 time=0.007158102939413123
r(1st stage) = 10387.863, v=5.723 time=0.007179598744035985
r(1st stage) = 10395.466, v=5.719 time=0.007201094548658847
r(1st stage) = 10403.055, v=5.714 time=0.0072225903532817095
r(1st stage) = 10410.632, v=5.709 time=0.007244086157904572
r(1st stage) = 10418.196, v=5.704 time=0.007265581962527435
r(1st stage) = 10425.748, v=5.699 time=0.007287077767150297
r(1st stage) = 10433.286, v=5.694 time=0.007308573571773159
r(1st stage) = 10440.813, v=5.689 time=0.007330069376396021
r(1st stage) = 10448.326, v=5.684 time=0.007351565181018883
r(1st stage) = 10455.828, v=5.680 time=0.007373060985641745
r(1st stage) = 10463.317, v=5.675 time=0.007394556790264607
r(1st stage) = 10470.793, v=5.670 time=0.00741605259488747
r(1st stage) = 10478.257, v=5.665 time=0.007437548399510332
r(1st stage) = 10485.708, v=5.661 time=0.0074590442041331945
r(1st stage) = 10493.147, v=5.656 time=0.007480540008756057
r(1st stage) = 10500.574, v=5.651 time=0.007502035813378919
r(1st stage) = 10507.989, v=5.646 time=0.007523531618001781
r(1st stage) = 10515.391, v=5.642 time=0.007545027422624643
r(1st stage) = 10522.781, v=5.637 time=0.007566523227247506
r(1st stage) = 10530.159, v=5.632 time=0.007588019031870368
r(1st stage) = 10537.524, v=5.627 time=0.00760951483649323
r(1st stage) = 10544.878, v=5.623 time=0.007631010641116092
r(1st stage) = 10552.219, v=5.618 time=0.007652506445738954
r(1st stage) = 10559.548, v=5.613 time=0.007674002250361816
r(1st stage) = 10566.865, v=5.609 time=0.0076954980549846785
r(1st stage) = 10574.170, v=5.604 time=0.007716993859607541
r(1st stage) = 10581.463, v=5.599 time=0.007738489664230404
r(1st stage) = 10588.744, v=5.595 time=0.007759985468853266
r(1st stage) = 10596.013, v=5.590 time=0.007781481273476128
r(1st stage) = 10603.270, v=5.586 time=0.00780297707809899
r(1st stage) = 10610.515, v=5.581 time=0.007824472882721853
r(1st stage) = 10617.749, v=5.576 time=0.007845968687344714
r(1st stage) = 10624.970, v=5.572 time=0.007867464491967577
r(1st stage) = 10632.180, v=5.567 time=0.007888960296590438
r(1st stage) = 10639.378, v=5.563 time=0.007910456101213301
r(1st stage) = 10646.564, v=5.558 time=0.007931951905836163
r(1st stage) = 10653.738, v=5.554 time=0.007953447710459026
r(1st stage) = 10660.901, v=5.549 time=0.007974943515081889
r(1st stage) = 10668.052, v=5.545 time=0.00799643931970475
r(1st stage) = 10675.191, v=5.540 time=0.008017935124327613
r(1st stage) = 10682.318, v=5.536 time=0.008039430928950474
r(1st stage) = 10689.434, v=5.531 time=0.008060926733573337
r(1st stage) = 10696.539, v=5.527 time=0.008082422538196198
r(1st stage) = 10703.632, v=5.522 time=0.008103918342819061
r(1st stage) = 10710.713, v=5.518 time=0.008125414147441924
r(1st stage) = 10717.783, v=5.513 time=0.008146909952064785
r(1st stage) = 10724.841, v=5.509 time=0.008168405756687648
r(1st stage) = 10731.888, v=5.504 time=0.00818990156131051
r(1st stage) = 10738.924, v=5.500 time=0.008211397365933373
r(1st stage) = 10745.948, v=5.495 time=0.008232893170556234
r(1st stage) = 10752.960, v=5.491 time=0.008254388975179097
r(1st stage) = 10759.962, v=5.487 time=0.00827588477980196
r(1st stage) = 10766.952, v=5.482 time=0.008297380584424821
r(1st stage) = 10773.931, v=5.478 time=0.008318876389047684
r(1st stage) = 10780.898, v=5.474 time=0.008340372193670545
r(1st stage) = 10787.854, v=5.469 time=0.008361867998293408
r(1st stage) = 10794.799, v=5.465 time=0.00838336380291627
r(1st stage) = 10801.733, v=5.460 time=0.008404859607539132
r(1st stage) = 10808.656, v=5.456 time=0.008426355412161995
r(1st stage) = 10815.567, v=5.452 time=0.008447851216784857
r(1st stage) = 10822.468, v=5.448 time=0.00846934702140772
r(1st stage) = 10829.357, v=5.443 time=0.008490842826030581
r(1st stage) = 10836.235, v=5.439 time=0.008512338630653444
r(1st stage) = 10843.103, v=5.435 time=0.008533834435276305
r(1st stage) = 10849.959, v=5.430 time=0.008555330239899168
r(1st stage) = 10856.804, v=5.426 time=0.008576826044522031
r(1st stage) = 10863.638, v=5.422 time=0.008598321849144892
r(1st stage) = 10870.462, v=5.418 time=0.008619817653767755
r(1st stage) = 10877.274, v=5.413 time=0.008641313458390617
r(1st stage) = 10884.076, v=5.409 time=0.00866280926301348
r(1st stage) = 10890.866, v=5.405 time=0.00868430506763634
r(1st stage) = 10897.646, v=5.401 time=0.008705800872259204
r(1st stage) = 10904.415, v=5.396 time=0.008727296676882067
r(1st stage) = 10911.173, v=5.392 time=0.008748792481504928
r(1st stage) = 10917.921, v=5.388 time=0.008770288286127791
r(1st stage) = 10924.657, v=5.384 time=0.008791784090750652
r(1st stage) = 10931.383, v=5.380 time=0.008813279895373515
r(1st stage) = 10938.099, v=5.376 time=0.008834775699996376
r(1st stage) = 10944.803, v=5.371 time=0.00885627150461924
r(1st stage) = 10951.497, v=5.367 time=0.008877767309242102
r(1st stage) = 10958.180, v=5.363 time=0.008899263113864964
r(1st stage) = 10964.853, v=5.359 time=0.008920758918487827
r(1st stage) = 10971.515, v=5.355 time=0.008942254723110688
r(1st stage) = 10978.167, v=5.351 time=0.00896375052773355
r(1st stage) = 10984.808, v=5.347 time=0.008985246332356412
r(1st stage) = 10991.438, v=5.343 time=0.009006742136979275
r(1st stage) = 10998.058, v=5.339 time=0.009028237941602138
r(1st stage) = 11004.668, v=5.334 time=0.009049733746225
r(1st stage) = 11011.267, v=5.330 time=0.009071229550847862
r(1st stage) = 11017.855, v=5.326 time=0.009092725355470723
r(1st stage) = 11024.434, v=5.322 time=0.009114221160093586
r(1st stage) = 11031.001, v=5.318 time=0.009135716964716448
r(1st stage) = 11037.559, v=5.314 time=0.00915721276933931
r(1st stage) = 11044.106, v=5.310 time=0.009178708573962174
r(1st stage) = 11050.643, v=5.306 time=0.009200204378585035
r(1st stage) = 11057.169, v=5.302 time=0.009221700183207898
r(1st stage) = 11063.686, v=5.298 time=0.009243195987830759
r(1st stage) = 11070.192, v=5.294 time=0.009264691792453622
r(1st stage) = 11076.688, v=5.290 time=0.009286187597076483
r(1st stage) = 11083.173, v=5.286 time=0.009307683401699346
r(1st stage) = 11089.648, v=5.282 time=0.00932917920632221
r(1st stage) = 11096.114, v=5.278 time=0.00935067501094507
r(1st stage) = 11102.569, v=5.274 time=0.009372170815567933
r(1st stage) = 11109.014, v=5.270 time=0.009393666620190795
r(1st stage) = 11115.449, v=5.266 time=0.009415162424813658
r(1st stage) = 11121.873, v=5.262 time=0.009436658229436519
r(1st stage) = 11128.288, v=5.258 time=0.009458154034059382
r(1st stage) = 11134.693, v=5.255 time=0.009479649838682245
r(1st stage) = 11141.087, v=5.251 time=0.009501145643305106
r(1st stage) = 11147.472, v=5.247 time=0.009522641447927969
r(1st stage) = 11153.847, v=5.243 time=0.00954413725255083
r(1st stage) = 11160.211, v=5.239 time=0.009565633057173693
r(1st stage) = 11166.566, v=5.235 time=0.009587128861796555
